barcode,Name,Ensembl
Endo,Plat,
Endo,Emcn,
Endo,Plpp1,
Endo,Ehd3,
Endo,Nrp1,
Endo,Ly6c1,
Endo,Egfl7,
Endo,Meis2,
Endo,Kdr,
Endo,Plpp3,
Endo,Igfbp5,
Endo,Pi16,
Endo,Eng,
Endo,Fabp4,
Endo,Ctla2a,
Endo,Crip2,
Endo,Ramp2,
Endo,Id3,
Endo,Ptprb,
Endo,Cd24a,
Endo,Flt1,
Endo,Gimap6,
Endo,Gng11,
Endo,Dlc1,
Endo,Cd300lg,
Endo,Pbx1,
Endo,Pecam1,
Endo,Id1,
Endo,Cdh5,
Endo,Fam167b,
Endo,Gimap5,
Endo,Sgk1,
Endo,Esam,
Endo,Icam2,
Endo,Arhgap31,
Endo,Aqp1,
Endo,Cd200,
Endo,Cald1,
Endo,S100a16,
Endo,Eva1b,
Endo,Tmem204,
Endo,Prkcdbp,
Endo,1810011O10Rik,
Endo,Sdpr,
Endo,Epas1,
Endo,Hspb1,
Endo,Clec1a,
Endo,Mmrn2,
Endo,AU021092,
Endo,Gpihbp1,
Endo,Fkbp1a,
Endo,Ednrb,
Endo,Rhob,
Endo,Cd34,
Endo,Cyyr1,
Endo,Ecscr,
Endo,Efnb2,
Endo,Klf7,
Endo,Exoc3l2,
Endo,Ddah2,
Endo,Slco2a1,
Endo,Hecw2,
Endo,Slc43a3,
Endo,Dkk2,
Endo,Kank3,
Endo,Rbms1,
Endo,Mxd4,
Endo,Tek,
Endo,Sox17,
Endo,Cmtm8,
Endo,Rsad2,
Endo,Heg1,
Endo,Ramp3,
Endo,Lifr,
Endo,Prex2,
Endo,Ece1,
Endo,Tcf4,
Endo,Bvht,
Endo,Lmo2,
Endo,Tinagl1,
Endo,Cd38,
Endo,Dusp3,
Endo,Rasgrp3,
Endo,Calcrl,
Endo,Adgrl4,
Endo,Plscr1,
Endo,Sncg,
Endo,Rapgef4,
Endo,Gstm1,
Endo,Tspan7,
Endo,Fas,
Endo,Elk3,
Endo,Tie1,
Endo,Col4a1,
Endo,Tbx3,
Endo,S1pr1,
Endo,Snrk,
Endo,Amotl1,
Endo,Selm,
Endo,Serpinh1,
Endo,Myct1,
Endo,Sptbn1,
Endo,Nostrin,
Endo,Arhgef15,
Endo,Marcksl1,
Endo,Clic4,
Endo,Jup,
Endo,F2r,
Endo,Hspg2,
Endo,Acvrl1,
Endo,Gja4,
Endo,Pcdh17,
Endo,Itpkb,
Endo,Limch1,
Endo,Ushbp1,
Endo,Tgfbr2,
Endo,Pde2a,
Endo,Col4a2,
Endo,Arid5b,
Endo,Fam117b,
Endo,Lims2,
Endo,Smad6,
Endo,Cdkn1a,
Endo,Slc6a6,
Endo,Myo1c,
Endo,Plscr2,
Endo,Ldb2,
Endo,Acer2,
Endo,Rhoc,
Endo,Clec14a,
Endo,Rdx,
Endo,4931406P16Rik,
Endo,Clec2d,
Endo,Bmpr2,
Endo,Jam3,
Endo,Arglu1,
Endo,Raph1,
Endo,Rasip1,
Endo,Notch1,
Endo,Ptprg,
Endo,Hyal2,
Endo,Adgrl2,
Endo,Mgll,
Endo,Npdc1,
Endo,Stmn2,
Endo,Lrrc8c,
Endo,Trim47,
Endo,Timp3,
Endo,Oaz2,
Endo,Tmbim1,
Endo,Cxx1a,
Endo,Thbd,
Endo,Grasp,
Endo,Grrp1,
Endo,Lgals9,
Endo,Gchfr,
Endo,Cd93,
Endo,Ccdc85b,
Endo,Cracr2b,
Endo,Lrrc8a,
Endo,Efna1,
Endo,Adamts5,
Endo,Plk2,
Endo,Sema6a,
Endo,Tmem26,
Endo,Tmem2,
Endo,Rhoj,
Endo,Mesdc1,
Endo,Pdgfb,
Endo,F8,
Endo,Col15a1,
Endo,Dll4,
Endo,Fgd5,
Endo,Plscr4,
Endo,Cyp20a1,
Endo,Unc45b,
Endo,Sparcl1,
Endo,Xiap,
Endo,Vdac3,
Endo,Cdc42ep2,
Endo,Sult1a1,
Endo,Ifi44,
Endo,Ephb4,
Endo,Kctd12b,
Endo,Sox18,
Endo,Apbb2,
Endo,Atp13a3,
Endo,Cldn15,
Endo,Slfn5,
Endo,Fam212a,
Endo,Plcb1,
Endo,Zeb1,
Endo,Fam101a,
Endo,Adam15,
Endo,Tnfaip1,
Endo,Polr3gl,
Endo,Dram1,
Endo,Ddit4l,
Endo,Galnt18,
Endo,Impdh1,
Endo,Ltbp1,
Endo,Sh3bp5,
Endo,Fam110a,
Endo,Dock6,
Endo,Enho,
Endo,Cx3cl1,
Endo,Caskin2,
Endo,She,
Endo,Itga6,
Endo,Tmem88,
Endo,Sash1,
Endo,Sypl,
Podo,Nphs2,
Podo,Podxl,
Podo,H2-Q7,
Podo,Nupr1,
Podo,Cdkn1c,
Podo,Nphs1,
Podo,Sparc,
Podo,Sema3g,
Podo,Clic3,
Podo,Rasl11a,
Podo,Cldn5,
Podo,Myl12a,
Podo,Cd59a,
Podo,Wt1,
Podo,Igfbp7,
Podo,Synpo,
Podo,Cmtm7,
Podo,H2-Q6,
Podo,Calm2,
Podo,Thsd7a,
Podo,Mafb,
Podo,Enpep,
Podo,Cryab,
Podo,Ptpro,
Podo,Clic5,
Podo,Rab3b,
Podo,Hs3st6,
Podo,Metrnl,
Podo,Laptm4a,
Podo,Itm2b,
Podo,Cd81,
Podo,Dpp4,
Podo,Tmod3,
Podo,Angptl2,
Podo,Itgb5,
Podo,Siva1,
Podo,Rhpn1,
Podo,Ctsl,
Podo,Mmp23,
Podo,Slc31a2,
Podo,Tsc22d1,
Podo,Fam65a,
Podo,Bcam,
Podo,Vegfa,
Podo,Magi2,
Podo,Lrrfip1,
Podo,Gadd45a,
Podo,Col4a3,
Podo,Sdc4,
Podo,Pak1,
Podo,Golim4,
Podo,2010111I01Rik,
Podo,Shisa3,
Podo,Htra1,
Podo,Efnb1,
Podo,Npr1,
Podo,Tmem54,
Podo,Fgfbp1,
Podo,Tspan15,
Podo,Tspan13,
Podo,Cd151,
Podo,Nes,
Podo,Itgb1,
Podo,Nbl1,
Podo,Mpp5,
Podo,Aplp1,
Podo,Plod2,
Podo,Srgap1,
Podo,St3gal6,
Podo,Myom2,
Podo,Gsn,
Podo,Pdpn,
Podo,43354,
Podo,Eif3m,
Podo,Gpx8,
Podo,Timp2,
Podo,Myl6,
Podo,Chst1,
Podo,Lamb2,
Podo,Npr3,
Podo,Anxa3,
Podo,Pdlim2,
Podo,Gas1,
Podo,Tmed9,
Podo,Tmem150c,
Podo,Dpysl2,
Podo,Robo2,
