Gene stable ID,HGNC symbol
ENSG00000127837,AAMP
ENSG00000179869,ABCA13
ENSG00000107331,ABCA2
ENSG00000100997,ABHD12
ENSG00000108798,ABI3
ENSG00000114626,ABTB1
ENSG00000159640,ACE
ENSG00000177076,ACER2
ENSG00000100412,ACO2
ENSG00000161533,ACOX1
ENSG00000087008,ACOX3
ENSG00000014257,ACPP
ENSG00000130402,ACTN4
ENSG00000282844,ACTN4
ENSG00000139567,ACVRL1
ENSG00000132744,ACY3
ENSG00000143537,ADAM15
ENSG00000151651,ADAM8
ENSG00000154736,ADAMTS5
ENSG00000184060,ADAP2
ENSG00000164742,ADCY1
ENSG00000174837,ADGRE1
ENSG00000205336,ADGRG1
ENSG00000117114,ADGRL2
ENSG00000162618,ADGRL4
ENSG00000159346,ADIPOR1
ENSG00000148926,ADM
ENSG00000043591,ADRB1
ENSG00000106624,AEBP1
ENSG00000237727,AIF1
ENSG00000204472,AIF1
ENSG00000206428,AIF1
ENSG00000234836,AIF1
ENSG00000235588,AIF1
ENSG00000235985,AIF1
ENSG00000106992,AK1
ENSG00000162433,AK4
ENSG00000117448,AKR1A1
ENSG00000166971,AKTIP
ENSG00000119711,ALDH6A1
ENSG00000132965,ALOX5AP
ENSG00000166025,AMOTL1
ENSG00000136859,ANGPTL2
ENSG00000135046,ANXA1
ENSG00000138772,ANXA3
ENSG00000182287,AP1S2
ENSG00000163697,APBB2
ENSG00000248329,APELA
ENSG00000105290,APLP1
ENSG00000111701,APOBEC1
ENSG00000130203,APOE
ENSG00000240583,AQP1
ENSG00000167580,AQP2
ENSG00000165272,AQP3
ENSG00000078061,ARAF
ENSG00000081181,ARG2
ENSG00000134884,ARGLU1
ENSG00000088756,ARHGAP28
ENSG00000031081,ARHGAP31
ENSG00000198844,ARHGEF15
ENSG00000130762,ARHGEF16
ENSG00000110237,ARHGEF17
ENSG00000104880,ARHGEF18
ENSG00000150347,ARID5B
ENSG00000213465,ARL2
ENSG00000175906,ARL4D
ENSG00000141748,ARL5C
ENSG00000099889,ARVCF
ENSG00000104763,ASAH1
ENSG00000126522,ASL
ENSG00000204653,ASPDH
ENSG00000244617,ASPRV1
ENSG00000130707,ASS1
ENSG00000133657,ATP13A3
ENSG00000147614,ATP6V0D2
ENSG00000263014,ATP6V1G3
ENSG00000151418,ATP6V1G3
ENSG00000126895,AVPR2
ENSG00000167601,AXL
ENSG00000162630,B3GALT2
ENSG00000128298,BAIAP2L2
ENSG00000153064,BANK1
ENSG00000176788,BASP1
ENSG00000187244,BCAM
ENSG00000127152,BCL11B
ENSG00000164039,BDH2
ENSG00000095585,BLNK
ENSG00000204217,BMPR2
ENSG00000109743,BST1
ENSG00000159388,BTG2
ENSG00000186265,BTLA
ENSG00000173372,C1QA
ENSG00000173369,C1QB
ENSG00000159189,C1QC
ENSG00000173918,C1QTNF1
ENSG00000163145,C1QTNF7
ENSG00000171860,C3AR1
ENSG00000197405,C5AR1
ENSG00000182985,CADM1
ENSG00000105767,CADM4
ENSG00000104327,CALB1
ENSG00000064989,CALCRL
ENSG00000122786,CALD1
ENSG00000143933,CALM2
ENSG00000129007,CALML4
ENSG00000131236,CAP1
ENSG00000100065,CARD10
ENSG00000165233,CARD19
ENSG00000177303,CASKIN2
ENSG00000121691,CAT
ENSG00000105974,CAV1
ENSG00000105971,CAV2
ENSG00000159884,CCDC107
ENSG00000175602,CCDC85B
ENSG00000115355,CCDC88A
ENSG00000278567,CCL3
ENSG00000277632,CCL3
ENSG00000274221,CCL3
ENSG00000271503,CCL5
ENSG00000274233,CCL5
ENSG00000118971,CCND2
ENSG00000163823,CCR1
ENSG00000121807,CCR2
ENSG00000121797,CCRL2
ENSG00000177697,CD151
ENSG00000204936,CD177
ENSG00000177455,CD19
ENSG00000091972,CD200
ENSG00000012124,CD22
ENSG00000198087,CD2AP
ENSG00000167851,CD300A
ENSG00000186407,CD300E
ENSG00000204345,CD300LD
ENSG00000186074,CD300LF
ENSG00000161649,CD300LG
ENSG00000174059,CD34
ENSG00000104894,CD37
ENSG00000004468,CD38
ENSG00000137101,CD72
ENSG00000019582,CD74
ENSG00000105369,CD79A
ENSG00000007312,CD79B
ENSG00000110651,CD81
ENSG00000112149,CD83
ENSG00000114013,CD86
ENSG00000125810,CD93
ENSG00000158825,CDA
ENSG00000079335,CDC14A
